     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0095 0.0001    2292.5740 5.783811e+01  56.538544  60.490453  61.092785
0.0096 0.0001    2240.3720 5.777316e+01  56.598485  60.516639  61.137547
0.0097 0.0001    2189.7130 5.770929e+01  56.658412  60.542682  61.182510
0.0098 0.0001    2140.5380 5.764599e+01  56.719885  60.572515  61.227629
0.0099 0.0001    2092.7960 5.758432e+01  56.781786  60.601826  61.272354
0.0100 0.0001       0.0000 5.752286e+01  56.844092  60.632912  61.316492
0.0000 0.0002  729721.4000 0.000000e+00 168.858167 168.854247 193.022330
0.0001 0.0002  738113.2000 2.215547e+01 194.589334 182.511673 200.645763
0.0002 0.0002  619137.1000 3.768940e+01 178.566607 163.013722 172.760709
0.0003 0.0002  460077.5000 4.597886e+01 160.271360 144.379155 149.996215
0.0004 0.0002  339130.6000 5.049177e+01 144.809984 129.689890 133.197451
0.0005 0.0002  256646.7000 5.320081e+01 132.477516 118.522061 120.748321
0.0006 0.0002  200415.7000 5.505249e+01 122.630147 109.972333 111.294041
0.0007 0.0002  161058.6000 5.642377e+01 114.627131 103.283703 103.944145
0.0008 0.0002  132631.5000 5.750962e+01 108.004879  97.943050  98.084096
0.0009 0.0002  111483.8000 5.840278e+01 102.436670  93.606663  93.336977
0.0010 0.0002   95334.8300 5.916258e+01  97.677408  90.015312  89.400343
0.0011 0.0002   82715.0000 5.981338e+01  93.567856  87.002727  86.144871
0.0012 0.0002   72646.9600 6.038265e+01  89.980185  84.449164  83.374711
0.0013 0.0002   64469.7500 6.086775e+01  86.808405  82.243189  80.991256
0.0014 0.0002   57724.6700 6.128279e+01  83.992805  80.322826  78.941229
0.0015 0.0002   52085.4000 6.163947e+01  81.473974  78.636933  77.145722
0.0016 0.0002   47314.5500 6.194410e+01  79.212770  77.147903  75.573681
0.0017 0.0002   43235.2800 6.220769e+01  77.179343  75.823372  74.190508
0.0018 0.0002   39713.1900 6.243414e+01  75.339598  74.642311  72.953538
0.0019 0.0002   36645.7100 6.262978e+01  73.667440  73.578074  71.848578
0.0020 0.0002   33953.4700 6.279144e+01  72.142056  72.615123  70.862898
0.0021 0.0002   31574.1700 6.291910e+01  70.754441  71.737844  69.976829
0.0022 0.0002   29458.2900 6.301762e+01  69.485301  70.938106  69.176409
0.0023 0.0002   27566.0500 6.309118e+01  68.320387  70.204246  68.447127
0.0024 0.0002   25865.1400 6.314724e+01  67.252929  69.527353  67.777523
0.0025 0.0002   24329.0500 6.318504e+01  66.273581  68.904250  67.162653
0.0026 0.0002   22935.8000 6.320822e+01  65.374487  68.332597  66.611444
0.0027 0.0002   21666.7400 6.321766e+01  64.546297  67.801198  66.101013
0.0028 0.0002   20506.2400 6.321514e+01  63.784025  67.308020  65.627556
0.0029 0.0002   19441.1900 6.320094e+01  63.082007  66.852765  65.203516
0.0030 0.0002   18460.4900 6.317641e+01  62.436706  66.428233  64.810430
0.0031 0.0002   17554.7100 6.314336e+01  61.841050  66.033126  64.438279
0.0032 0.0002   16715.8000 6.310300e+01  61.290815  65.664377  64.104566
0.0033 0.0002   15936.7900 6.305457e+01  60.782981  65.318074  63.798163
0.0034 0.0002   15211.6700 6.299855e+01  60.314451  64.994471  63.516573
0.0035 0.0002   14535.2100 6.293776e+01  59.881259  64.690708  63.252318
0.0036 0.0002   13902.8400 6.287031e+01  59.481795  64.404005  63.009481
0.0037 0.0002   13310.5500 6.279757e+01  59.113923  64.133910  62.784972
0.0038 0.0002   12754.7800 6.271929e+01  58.772757  63.879718  62.570920
0.0039 0.0002   12232.4200 6.263819e+01  58.457827  63.639776  62.375111
0.0040 0.0002   11740.6600 6.255238e+01  58.167839  63.413680  62.196026
0.0041 0.0002   11277.0500 6.246466e+01  57.900239  63.201120  62.029990
0.0042 0.0002   10839.3600 6.237443e+01  57.652434  62.998728  61.870381
0.0043 0.0002   10425.6100 6.228116e+01  57.425347  62.808668  61.730370
0.0044 0.0002   10034.0100 6.218727e+01  57.215243  62.629909  61.593420
0.0045 0.0002    9662.9430 6.209248e+01  57.023085  62.460985  61.469884
0.0046 0.0002    9310.9490 6.199525e+01  56.846707  62.301680  61.354525
0.0047 0.0002    8976.7010 6.189785e+01  56.684307  62.150934  61.244830
0.0048 0.0002    8658.9890 6.179953e+01  56.536372  62.009038  61.144992
0.0049 0.0002    8356.7120 6.170058e+01  56.401436  61.875188  61.057052
0.0050 0.0002    8068.8630 6.160111e+01  56.279325  61.749182  60.975138
0.0051 0.0002    7794.5190 6.150235e+01  56.166686  61.629094  60.895208
0.0052 0.0002    7532.8350 6.140304e+01  56.066086  61.518185  60.824983
0.0053 0.0002    7283.0320 6.130251e+01  55.977187  61.413940  60.766106
0.0054 0.0002    7044.3940 6.120250e+01  55.896578  61.315717  60.709027
0.0055 0.0002    6816.2600 6.110341e+01  55.823922  61.223432  60.657608
0.0056 0.0002    6598.0180 6.100512e+01  55.759559  61.136620  60.611297
0.0057 0.0002    6389.1030 6.090763e+01  55.702681  61.054679  60.568254
0.0058 0.0002    6188.9920 6.081080e+01  55.652006  60.978979  60.525232
0.0059 0.0002    5997.1970 6.071419e+01  55.610081  60.908479  60.490952
0.0060 0.0002    5813.2670 6.061701e+01  55.575275  60.842818  60.465507
0.0061 0.0002    5636.7810 6.051959e+01  55.546914  60.781700  60.440977
0.0062 0.0002    5467.3450 6.042506e+01  55.524110  60.724894  60.424680
0.0063 0.0002    5304.5950 6.033074e+01  55.505907  60.672886  60.408323
0.0064 0.0002    5148.1900 6.023849e+01  55.491518  60.623158  60.394783
0.0065 0.0002    4997.8200 6.014531e+01  55.483529  60.578950  60.385204
0.0066 0.0002    4853.1970 6.005436e+01  55.479164  60.538441  60.379418
0.0067 0.0002    4714.0490 5.996458e+01  55.478597  60.499807  60.371317
0.0068 0.0002    4580.1180 5.987353e+01  55.484724  60.467895  60.376285
0.0069 0.0002    4451.1610 5.978510e+01  55.493220  60.438457  60.380305
0.0070 0.0002    4326.9500 5.969763e+01  55.504700  60.411985  60.381916
0.0071 0.0002    4207.2680 5.961029e+01  55.520758  60.388158  60.390625
