l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
-3,-8,-5.4752499235488745,3.4362109850495552,-0.46197735234619414,2.827009367365759,-5.9442761,3.4233682582948606,-0.35642771500000003,2.6602990070472328
-2,-8,-5.395824319214151,3.3373156151011973,-0.4846551325502177,2.712653308686596,-5.9315333,3.258602321919469,-0.362606915,2.858710166195914
-1,-8,-5.372536637523389,5.696407790474411,-0.4837508921732483,3.8053121863302137,-5.8265530000000005,4.194918572915285,-0.351222995,2.6532756332353373
0,-8,-5.344417926870812,3.2809084140328006,-0.5094177125245444,2.909182146951392,-5.7576067,3.1919969277955764,-0.32708585,2.9616538162506663
1,-8,-5.306734326933421,3.2120625183733704,-0.44565224220808486,2.8214734555496856,-5.6620189,3.0902499099711345,-0.31899042,2.6897137173052825
2,-8,-5.280318151840444,3.1375389512448333,-0.4623673373422436,2.7830021378510974,-5.6340598,2.9985847391364167,-0.27653932,2.655797213267143
3,-8,-5.25896077832525,3.235287327267181,-0.40625359909847303,2.744964266577781,-5.5207193,3.267084914210928,-0.33932945,2.636747970757235
4,-8,-5.27331454624937,3.335746115580789,-0.3637610150843985,2.697412081559154,-5.5400149,3.251370580782012,-0.2468072,2.60450227986279
5,-8,-5.291154033908669,3.1021639318642893,-0.29366708674747,2.6561133518331883,-5.4034071,3.385042355716147,-0.28634314,2.635951570998558
6,-8,-5.277380509672735,3.1964964030572833,-0.23107895153770328,2.5905621090852193,-5.364593,3.417300060895177,-0.28291285,2.7254512758726235
7,-8,-5.406922501787671,3.2637145298226216,-0.22356743087847064,2.642829635894553,-5.3384107499999995,3.2609703178609686,-0.261005915,2.6232590369672333
8,-8,-5.1575837035182825,3.52383193839511,-0.22252579512327636,2.909345580735012,-5.0166456,3.471668341061377,-0.3101697,2.6421353729032697
9,-8,-5.24961928916143,3.3010615690222003,-0.2065618867480602,2.600767949730617,-5.164884649999999,3.603257478643782,-0.25891423999999996,2.7088229260452574
10,-8,-5.318241391579836,3.307545346668136,-0.2355986572641705,2.6897963211478317,-5.1190998,3.2241709840828987,-0.24040542,2.710045722040588
