l,b,gaia_median,gaia_std,synth_median,synth_std
-6,-6,-0.440572722260134,3.03251120347145,-0.322981405,2.453691165512524
-5,-6,-0.4459135826126006,2.842873626271454,-0.29519527,2.58433179385284
-4,-6,-0.4302856535792243,2.9786954958025285,-0.3004365,2.579266536335872
-3,-6,-0.4406931523360111,3.111283429699752,-0.2815653,2.6245880197458398
-2,-6,-0.479585582678393,3.5106361303999134,-0.27906058,2.681060628503728
-1,-6,-0.4829462408722094,3.250760052576701,-0.30644379,2.655671567666408
0,-6,-0.4275186629473472,3.067356826085433,-0.28432687,2.616696437466611
1,-6,-0.490838223710104,3.0031018073071625,-0.264017485,2.607409922468686
2,-6,-0.3917575786571944,2.8774035473792177,-0.25671383,2.552882681623613
3,-6,-0.4177796387900115,2.992680918127624,-0.306196645,2.572797725624109
4,-6,-0.3095311633354459,2.7728847068407245,-0.3087509,2.5424069075562805
5,-6,-0.2511152906290983,2.681737409560053,-0.2866550599999999,2.4948272613447933
6,-6,-0.2452284547306432,2.671484231124982,-0.31277102,2.514238144949857
7,-6,-0.2417507186648287,2.5700185904355792,-0.27825661,2.6084792455756274
8,-6,-0.2537997243244815,2.6004581669748297,-0.28863458,2.501012985395953
9,-6,-0.3070678418820665,2.59745252584225,-0.35383831,2.575567369239577
10,-6,-0.2642548359433266,2.568166809168837,-0.28787209,2.5737500132958164
-10,-5,-0.6172485461723047,2.6780105011960886,-0.46175257,2.5500271574293936
-9,-5,-0.5198453032693002,3.109064413990205,-0.35866218,2.427137240377089
-8,-5,-0.4957144757479579,2.7096409783622395,-0.4089996,2.598654858527379
-7,-5,-0.4617342916763064,2.793316837438043,-0.33318439,2.483975725511986
-6,-5,-0.421188810442055,2.7252320259519625,-0.31454285,2.452896372668491
-5,-5,-0.4252997156452764,2.75781865151728,-0.28009884,2.584181912615898
-4,-5,-0.4746647587179667,2.869246355330953,-0.28642892,2.5685476022492866
-3,-5,-0.4454383358085231,2.918037020547675,-0.29188405,2.62021765293225
-2,-5,-0.4833157401774407,3.0659361000767453,-0.31568501,2.672090647127697
-1,-5,-0.4813580728220317,3.4205026044546134,-0.285106985,2.7058253889765544
