l,b,gaia_median,gaia_std,synth_median,synth_std
-5,4,-5.554834018554532,3.519303802682134,-5.909449301374709,3.8319408049813846
-4,4,-5.608496882006555,3.842798622248267,-5.929344098863556,3.953157431135698
-3,4,-5.679677857158561,3.3752609512520118,-5.878295812098612,3.978739220993367
-2,4,-5.724413708243408,3.535001449352296,-5.810930116147125,3.5786741179612913
-1,4,-5.6554600513806,3.522527570205147,-5.703205355340098,3.56373841822273
0,4,-5.957567433624074,3.635857300615046,-5.246348400281942,7.034431574816258
1,4,-5.893547475491149,3.4859372831342075,-5.062300764325135,6.5542452144155225
2,4,-5.879732803758743,3.7013802346422855,-5.40683174196927,4.349233511509584
3,4,-5.586507191828482,3.79719187312762,-5.346407103839633,3.792411740961564
4,4,-5.351675639686753,4.476964595965473,-5.1155062572324566,3.483870036243347
5,4,-5.357863119258683,3.6612009696253804,-5.078631681433454,3.387256507267883
6,4,-5.3084206000948875,4.053351023203576,-4.858259245352602,3.384925166557575
7,4,-5.235143801754718,3.7637147643873266,-4.563639057526649,4.058885239004241
8,4,-5.029222786947368,3.789694906283753,-4.190355402672809,4.272562662625686
9,4,-5.030900879758196,3.587335884588259,-4.059051107312257,3.99348629430237
10,4,-4.96821378525514,3.684649876160109,-4.057630913432783,3.3818024462827503
-10,5,-5.117842752164059,3.7990067417211453,-5.571162742312162,3.9252338738115404
-9,5,-5.177748059189654,3.5220953584672734,-6.079036715612582,3.969893029321724
-8,5,-5.497368202641925,3.428183108832755,-6.580566470624186,3.3163545972227118
-7,5,-5.481290846496544,3.379065190231398,-6.412350176834115,3.5732176288739534
-6,5,-5.457294340617785,3.6101452672315015,-6.029455289944447,3.877086315842327
-5,5,-5.507752538361749,3.688662460203378,-5.893215153326706,3.8385689648585153
-4,5,-5.586017147948904,3.615767415957081,-5.8756313491892085,3.663861217365483
-3,5,-5.566693040488401,3.4259396260126134,-5.784415486620154,3.5200709514978095
-2,5,-5.597332530501285,3.4627052777151173,-5.774063629715938,3.788492069322887
-1,5,-5.6960298883504485,3.5469435044736906,-5.726722979057719,3.879788323213713
0,5,-5.2881667353921715,4.128642413370884,-5.55465506272385,3.735062543344569
