field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG546.31,273.298,-31.836,0.427,-6.599,67.8,875.2,11887,153461
BLG546.32,273.115,-31.836,0.354,-6.463,70.8,886.1,12410,155336
BLG547.01,274.272,-34.008,-1.133,-8.33,53.7,566.6,8851,93397
BLG547.02,274.087,-34.008,-1.204,-8.194,55.8,566.8,9198,93430
BLG547.03,273.902,-34.008,-1.275,-8.057,58.5,603.8,9643,99529
BLG547.04,273.717,-34.008,-1.347,-7.921,57.6,614.7,9494,101326
BLG547.05,273.532,-34.008,-1.418,-7.785,59.2,637.6,9758,105101
BLG547.06,273.347,-34.008,-1.49,-7.649,62.2,671.1,10252,110623
BLG547.07,273.162,-34.008,-1.562,-7.514,64.9,729.4,10698,120233
BLG547.08,274.448,-33.687,-0.777,-8.314,53.5,564.3,8818,93018
BLG547.09,274.263,-33.687,-0.848,-8.177,56.0,577.5,9228,95171
BLG547.10,274.078,-33.687,-0.919,-8.04,59.9,616.2,9871,101549
BLG547.11,273.893,-33.687,-0.991,-7.903,61.7,648.6,10168,106888
BLG547.12,273.708,-33.687,-1.062,-7.766,64.5,681.0,10629,112228
BLG547.13,273.523,-33.687,-1.134,-7.63,61.4,695.3,10118,114584
BLG547.14,273.338,-33.687,-1.206,-7.494,66.7,728.1,10992,119990
BLG547.15,273.153,-33.687,-1.279,-7.357,70.2,779.5,11568,128460
BLG547.16,272.968,-33.687,-1.351,-7.221,74.2,879.8,12228,144990
BLG547.17,274.448,-33.388,-0.508,-8.177,53.0,587.7,8738,96898
BLG547.18,274.263,-33.388,-0.579,-8.04,55.9,606.4,9212,99934
BLG547.19,274.078,-33.388,-0.651,-7.902,60.1,644.9,9904,106278
BLG547.20,273.893,-33.388,-0.723,-7.765,62.0,672.6,10217,110843
BLG547.21,273.708,-33.388,-0.795,-7.628,63.5,701.9,10467,115700
BLG547.22,273.523,-33.388,-0.867,-7.491,66.0,741.6,10876,122214
BLG547.23,273.338,-33.388,-0.939,-7.354,72.4,810.2,11931,133520
BLG547.24,273.153,-33.388,-1.012,-7.218,72.5,847.7,11947,139700
BLG547.25,272.968,-33.388,-1.085,-7.081,80.3,925.2,13233,152472
BLG547.26,274.272,-33.067,-0.288,-7.899,56.3,629.5,9282,103790
BLG547.27,274.087,-33.067,-0.359,-7.761,57.7,648.2,9511,106848
BLG547.28,273.902,-33.067,-0.432,-7.623,61.9,694.5,10203,114480
BLG547.29,273.717,-33.067,-0.504,-7.486,66.6,747.7,10975,123220
BLG547.30,273.532,-33.067,-0.577,-7.348,66.9,772.3,11025,127274
BLG547.31,273.347,-33.067,-0.649,-7.211,73.2,835.9,12063,137755
BLG547.32,273.162,-33.067,-0.722,-7.074,73.1,865.8,12041,142615
BLG566.01,279.234,-24.164,9.713,-7.777,46.5,508.3,7646,83587
BLG566.02,279.066,-24.164,9.644,-7.639,53.9,546.0,8863,89786
BLG566.03,278.898,-24.164,9.575,-7.502,51.3,536.1,8434,88138
BLG566.04,278.729,-24.164,9.506,-7.364,48.0,522.0,7893,85840
BLG566.05,278.561,-24.164,9.437,-7.226,54.7,573.4,8990,94247
BLG566.06,278.392,-24.164,9.368,-7.089,63.1,591.2,10371,97173
BLG566.07,278.224,-24.164,9.298,-6.952,54.6,584.0,8974,95989
BLG566.10,279.058,-23.843,9.931,-7.49,223.5,1061.6,36744,174533
BLG566.11,278.89,-23.843,9.862,-7.352,63.6,631.8,10456,103871
BLG566.12,278.721,-23.843,9.793,-7.214,53.9,557.7,8859,91666
BLG566.13,278.553,-23.843,9.723,-7.076,54.1,552.6,8890,90807
BLG566.14,278.384,-23.843,9.654,-6.939,61.4,594.3,10089,97659
BLG566.15,278.216,-23.843,9.584,-6.801,61.5,625.8,10103,102810
BLG566.16,278.048,-23.843,9.515,-6.663,61.7,640.1,10134,105135
BLG566.22,278.553,-23.543,9.993,-6.942,53.2,570.4,8742,93732
BLG566.23,278.384,-23.543,9.923,-6.804,56.0,585.0,9200,96107
