_l_key,_b_key,l_baseline,b_baseline,avg_tau_baseline,eventrate_source_baseline,eventrate_area_baseline,avg_t_baseline,avg_logt_baseline,frac_lowmass_baseline,l_kirkpatrick_min001,b_kirkpatrick_min001,avg_tau_kirkpatrick_min001,eventrate_source_kirkpatrick_min001,eventrate_area_kirkpatrick_min001,avg_t_kirkpatrick_min001,avg_logt_kirkpatrick_min001,frac_lowmass_kirkpatrick_min001
-3.26,-3.809,-3.26,-3.809,1.179196129744256e-06,1.1558375509193122e-05,67.89742603519176,23.722452895161645,1.2189804493139316,0.0689292709508158,-3.26,-3.809,1.4702107263109753e-06,1.4166350882430322e-05,2104.6863939068157,24.13192350529596,1.2356773620287431,0.076804100672841
-3.338,-3.676,-3.338,-3.676,1.226909559862158e-06,1.2283895224341302e-05,67.39995969766355,23.22452255021349,1.2170261973366625,0.0637729621031733,-3.338,-3.676,1.6606359859417389e-06,1.490208591673218e-05,2319.4554231466504,25.911808743304046,1.2491733472426754,0.0854780751286357
-3.416,-3.543,-3.416,-3.543,1.217404334534212e-06,1.2298385248401897e-05,57.510555983267565,23.017444149831864,1.21209843258353,0.0613026975752961,-3.416,-3.543,1.5851611054025013e-06,1.4752784871233871e-05,2394.313840385855,24.9844472555203,1.235668035363151,0.0859699671365356
-3.494,-3.411,-3.494,-3.411,1.4416601328943788e-06,1.326204294496132e-05,83.73660737168116,25.276841575936302,1.232896455413021,0.0655620827833669,-3.494,-3.411,1.6307085089184927e-06,1.5580647172318594e-05,2656.61095599412,24.336672169866112,1.2357828322717783,0.0783268082133999
-3.573,-3.278,-3.573,-3.278,1.4600991699046488e-06,1.3956845758488497e-05,113.13086498790598,24.325704267675604,1.2236743568077508,0.0600457083843544,-3.573,-3.278,1.7535266495914082e-06,1.6368206235839705e-05,2984.790548888417,24.910453252053514,1.2296049883687157,0.0836232344693013
-3.652,-3.146,-3.652,-3.146,1.506590659660249e-06,1.4394507750706451e-05,111.5975413459025,24.33709852683081,1.2272834935820855,0.0624392513808486,-3.652,-3.146,1.6118427380076144e-06,1.6178739461370896e-05,3012.211273177263,23.16585497439522,1.213229468294333,0.0940110938927977
-3.731,-3.014,-3.731,-3.014,1.3250623318985949e-06,1.3980236351017442e-05,85.27971272853632,22.039013055479863,1.2019726269681106,0.0633886953415959,-3.731,-3.014,1.9058140604600448e-06,1.750449982949292e-05,3431.6639265543827,25.316354504035107,1.2412450329313165,0.0777903384465391
-2.845,-3.925,-2.845,-3.925,1.0846021707218724e-06,1.1335697116812492e-05,86.66847414409551,22.24808236012658,1.1776252971514645,0.0716551011827876,-2.845,-3.925,1.3842820065355082e-06,1.3228944230433206e-05,1895.873978938229,24.33154775756744,1.2297785656265283,0.0809268461503482
-2.923,-3.791,-2.923,-3.791,1.2220996225272831e-06,1.2224407216175588e-05,90.9527678940076,23.2460490025851,1.205970026178257,0.0604474832667242,-2.923,-3.791,1.5513586213863762e-06,1.4339613821243757e-05,2176.621897365009,25.156203285434348,1.2385827775910156,0.0788880474403562
-3.001,-3.658,-3.001,-3.658,1.2620632876629463e-06,1.3119057272311018e-05,95.959182168494,22.36911762635565,1.1926275997494824,0.0672024790910447,-3.001,-3.658,1.4232072288038156e-06,1.4620375611838476e-05,2398.629365084544,22.63497182928617,1.2049616952740596,0.0807849151680629
