l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
1.438,-1.479,8821,3155,3.819902444125325e-07,1.3997170439199258e-09,2.539260844975542e-06,6.827073519795036,0.2992866092845309,210.51649949849306,2.9927184034815812e-05,19.729306022699095,1.108759363686456,24.181346862696113,0.3917766857776654,8.715920299311218,6.987154435653514,1.818273109253765,1.578903984799337,0.7958254217354741,0.20259250199057344,0.8461844177922939,0.15298079035791917,0.07955061624091324,10,outputfiles/ogle_chips/src/Huston2025_l1.438_b-1.479.h5,outputfiles/ogle_chips/lens/Huston2025_l1.438_b-1.479.h5,7.862920783251424e-05,0.0006506128239377518
1.36,-1.346,7398,4138,1.7326638837467983e-07,1.7743964702575774e-09,3.026879952257822e-06,6.8352043818403345,0.30814420779408164,453.26412035337256,3.4849504143957596e-05,20.196166452143512,1.1158655882775674,24.647354917752317,0.39887499180311614,8.693565420212215,7.0226116175971,1.5386272193235606,1.4761224510750723,0.7804076657572903,0.21839232583067697,0.8489028245222886,0.14912511991144978,0.05690363736693518,11,outputfiles/ogle_chips/src/Huston2025_l1.360_b-1.346.h5,outputfiles/ogle_chips/lens/Huston2025_l1.360_b-1.346.h5,0.001096772517898906,0.0013532332252640543
1.282,-1.213,3318,4299,9.370031832639156e-08,1.715300690818956e-09,2.7061399682845624e-06,6.724842211350033,0.283691054267904,352.461660941181,3.267546923011069e-05,19.257449617381592,1.099724638780484,21.94096510276204,0.3996496220442302,8.764003296618764,7.112175372515433,1.6774904641144854,1.4817544068666606,0.8197586693132071,0.17814831588771102,0.8338783330691606,0.16222876047784454,0.06412076609043496,12,outputfiles/ogle_chips/src/Huston2025_l1.282_b-1.213.h5,outputfiles/ogle_chips/lens/Huston2025_l1.282_b-1.213.h5,0.0018700316647499264,0.0027623295759319666
1.204,-1.08,3148,4425,1.1295213925691154e-07,1.5958906622625662e-09,2.8194393414944207e-06,6.837682517730271,0.3005709998898934,276.34016048507993,3.254985117784868e-05,20.14114220454958,1.1044681419902787,23.768409183721413,0.4146587863653703,8.831950031798023,7.017766032835921,2.045465891830351,1.6484638502943099,0.7840829535532471,0.21069188584359302,0.8067892233402424,0.18616714017460342,0.06103602822844569,13,outputfiles/ogle_chips/src/Huston2025_l1.204_b-1.080.h5,outputfiles/ogle_chips/lens/Huston2025_l1.204_b-1.080.h5,0.004065762041899914,0.0052173218888787246
1.125,-0.947,4058,4224,2.070789219710045e-07,1.4426681001098518e-09,2.9208589232033637e-06,6.578526318902544,0.28262944365939247,200.24484076826147,3.3545205212977855e-05,20.246524144013854,1.1329013842421083,21.757573368970984,0.3920743626449781,8.999495299829551,7.052830149712468,2.070496483900477,1.5023210279820236,0.7737287182532813,0.2210190614975807,0.7471391418044784,0.2455683524691901,0.06934161329000825,14,outputfiles/ogle_chips/src/Huston2025_l1.125_b-0.947.h5,outputfiles/ogle_chips/lens/Huston2025_l1.125_b-0.947.h5,0.004985749203655551,0.007185266548731637
1.046,-0.814,3995,4351,3.850364186103996e-07,1.366209127743388e-09,2.680442583789731e-06,6.508934220515346,0.2886738774269015,91.95603547528631,2.9094475304320875e-05,21.422311350126886,1.1388474506661053,25.09094009549905,0.40742480692084626,9.177201477845596,7.2557838261436896,2.08071966950371,1.4182295562688252,0.7995662790245411,0.1905623823689434,0.7009852990224609,0.2845366035097269,0.07100311502649218,15,outputfiles/ogle_chips/src/Huston2025_l1.046_b-0.814.h5,outputfiles/ogle_chips/lens/Huston2025_l1.046_b-0.814.h5,0.009620988108793957,0.014430953797390084
1.641,-1.19,3434,3997,3.8564565344997304e-07,1.6961097933723934e-09,2.099520921660535e-06,6.489298481012427,0.28085579937796734,63.45158565323952,2.3392459940885622e-05,20.86962569412991,1.1402231244276184,22.87834068033632,0.3965918703651905,9.131303600696466,7.1206085763440905,2.370471149123138,1.4309013963708623,0.7947300847204449,0.2024884572560509,0.7521229765667192,0.24705370279621858,0.06062677703298628,16,outputfiles/ogle_chips/src/Huston2025_l1.641_b-1.190.h5,outputfiles/ogle_chips/lens/Huston2025_l1.641_b-1.190.h5,0.0013873195540332324,0.0008166475592722982
1.563,-1.056,7763,4409,4.4931069418539515e-07,1.6973282630515403e-09,2.472880750992845e-06,6.456329992125108,0.2843105045220163,143.00835159407393,2.7172139456557904e-05,21.16165777459578,1.144588486343642,23.587860468179326,0.39696550529521085,8.951115306691024,6.995801813515711,2.1667921032034254,1.514011579685283,0.774373277332509,0.22395022911705456,0.7523840867405238,0.2427520648547032,0.06602115051625286,17,outputfiles/ogle_chips/src/Huston2025_l1.563_b-1.056.h5,outputfiles/ogle_chips/lens/Huston2025_l1.563_b-1.056.h5,0.0016027820485741346,0.002612972462085017
1.484,-0.923,4091,4174,4.788585839047059e-07,1.5398410570218118e-09,2.1536286628127684e-06,6.3264550108562485,0.2668003312234719,62.71804265786115,2.4099917638268822e-05,20.77904635108798,1.1394352898162547,23.06279789057545,0.39457486691990873,9.261399324938708,7.330346628757556,2.115029469811885,1.2547798795288827,0.8406043955307503,0.15456561103108613,0.694392528790631,0.2984028892679299,0.06022141018245024,18,outputfiles/ogle_chips/src/Huston2025_l1.484_b-0.923.h5,outputfiles/ogle_chips/lens/Huston2025_l1.484_b-0.923.h5,0.0041398104048358175,0.0057507722510021335
-0.233,-2.277,3983,4000,1.0143760078897396e-07,2.3342832878255476e-09,2.3909882533825964e-06,6.397171461784862,0.27633836054269406,325.36782860491036,2.720248228105326e-05,20.438040432485124,1.1231422193382221,26.43992240091476,0.38649399898560205,8.877429891892598,7.312400563077144,1.3523221782088755,1.3874015042202412,0.8510500515951758,0.14867224184203226,0.9178498964975921,0.08164702283445632,0.06004739732519611,19,outputfiles/ogle_chips/src/Huston2025_l-0.233_b-2.277.h5,outputfiles/ogle_chips/lens/Huston2025_l-0.233_b-2.277.h5,0.0,0.00012653126926865106
