l,b,mub_median,mub_std
3.0,-9.0,-0.31181197,2.764458748906764
3.0,-8.0,-0.31397367,3.120502608238699
3.0,-7.0,-0.30438920999999997,2.60224943223474
3.0,-6.0,-0.306196645,2.572797725624109
3.0,-5.0,-0.27366283,2.6082106122939797
3.0,-4.0,-0.264004605,2.597801526825176
3.0,-3.0,-0.28337098,2.621005731983427
3.0,-2.0,-0.3123812,2.5207416428782072
3.0,-1.0,-0.57153174,3.1866491014190674
3.0,0.0,-0.56530147,2.6625229025466015
3.0,1.0,-0.63066229,2.6546235707926287
3.0,2.0,-0.357304865,2.6989996728008174
3.0,3.0,-0.33255641,3.0151115444222585
3.0,4.0,-0.323184495,2.701390824301161
3.0,5.0,-0.27490432,2.8404550518365825
4.0,-10.0,-0.29727537000000004,2.7496324039679467
4.0,-9.0,-0.2957884,2.7465346780387914
4.0,-8.0,-0.25951615,2.591721894670388
4.0,-7.0,-0.283805825,2.5619499325283273
4.0,-6.0,-0.3087509,2.5424069075562805
4.0,-5.0,-0.27893063,2.550607347104561
4.0,-4.0,-0.274495935,2.5496095742476763
4.0,-3.0,-0.26660547,2.5267757712343153
4.0,-2.0,-0.392882555,2.5509144782312676
4.0,-1.0,-0.62880514,2.7041891107536093
4.0,0.0,-0.51591106,2.713141595854136
4.0,1.0,-0.44151394,2.2999463010890504
4.0,2.0,-0.33623275,2.578292401652883
4.0,3.0,-0.30473392,2.5330821486288624
4.0,4.0,-0.33070287,2.742013357815579
4.0,5.0,-0.25969085,2.73887283766836
5.0,-10.0,-0.281843585,2.941697192849983
5.0,-9.0,-0.31064444,2.6777858360943916
5.0,-8.0,-0.32892456,2.6064540520817605
5.0,-7.0,-0.28589546,2.706390270723947
5.0,-6.0,-0.28665505999999996,2.4948272613447933
5.0,-5.0,-0.27169472,2.5539552011031708
5.0,-4.0,-0.28713409,2.559400205310161
5.0,-3.0,-0.35552842,2.4698727412065424
5.0,-2.0,-0.44920871,2.569846632612191
5.0,-1.0,-0.593702755,2.5995272554841065
5.0,0.0,-0.54393846,2.709381080137332
5.0,1.0,-0.49639617,2.38858626509755
5.0,2.0,-0.32864322,2.3388325683605045
5.0,3.0,-0.3167055,2.4509831339436836
